KODE NAMA PT,Terakhir,%Perubahan,Perrubahan,Penialain,Volume,Cap Pasar,P/E,EPS(TTM),Pegawai,Jenis Industri
" ADRO ADARO ENERGY TBK. ",1140.00,-0.87%,-10.00,Pembelian,52.492M,32625.700B,6.24,179.14,10988.00,Batubara
" APEX APEXINDO PRATAMA DUTA TBK. ",147.00,12.21%,16.00,Penjualan,3.300K,425.576B,—,-285.33,—,Produksi Minyak & Gas
" ARII ATLAS RESOURCES TBK. ",570.00,-3.39%,-20.00,Penjualan,12.400K,1785.000B,—,-133.82,314.00,Batubara
" BOSS BORNEO OLAH SARANA SUKSES TBK. ",60.00,0.00%,0.00,Penjualan,1.182M,82.600B,—,-4.37,—,Batubara
" BSSR BARAMULTI SUKSESSARANA TBK. ",1800.00,-2.96%,-55.00,Penjualan,1.600K,4919.020B,11.42,164.67,612.00,Batubara
" BUMI BUMI RESOURCES TBK. ",50.00,0.00%,0.00,Penjualan,1.343M,3354.190B,2.52,19.86,517.00,Batubara
" BYAN BAYAN RESOURCES TBK. ",14500.00,-4.61%,-700.00,Penjualan Kuat,200,48333.300B,15.26,950.20,593.00,Batubara
" CNKO EXPLOITASI ENERGI INDONESIA TBK. ",50.00,0.00%,0.00,Penjualan,200,447.818B,2.22,22.55,—,Batubara
" DWGL DWI GUNA LAKSANA TBK. ",246.00,-1.60%,-4.00,Penjualan,3.600K,2247.300B,—,-0.10,—,Batubara
" ELSA ELNUSA TBK. ",220.00,2.80%,6.00,Pembelian,92.691M,1029.090B,3.71,48.84,2075.00,Produksi Minyak & Gas
" GTBO GARDA TUJUH BUANA TBK ",78.00,-2.50%,-2.00,Penjualan,61.500K,187.500B,—,-45.15,63.00,Batubara
" HRUM HARUM ENERGY TBK. ",1375.00,0.00%,0.00,Pembelian,687.100K,3387.960B,13.12,102.11,697.00,Batubara
" ITMA SUMBER ENERGI ANDALAN TBK. ",320.00,12.68%,36.00,Pembelian,15.370M,215.934B,0.95,268.88,3.00,Batubara
" KKGI RESOURCE ALAM INDONESIA TBK. ",162.00,-2.41%,-4.00,Penjualan,4.100K,750.952B,21.77,7.35,407.00,Batubara
" MBAP MITRABARA ADIPERDANA TBK. ",1560.00,0.65%,10.00,Penjualan,22.800K,1908.400B,3.89,373.11,448.00,Batubara
" MEDC MEDCO ENERGI INTERNASIONAL TBK. ",505.00,0.00%,0.00,Penjualan,105.333M,6695.950B,—,—,2771.00,Produksi Minyak & Gas
" MYOH SAMINDO RESOURCES TBK. ",1260.00,-1.18%,-15.00,Pembelian,48.200K,2449.000B,6.04,182.83,698.00,Batubara
" PTBA BUKIT ASAM TBK. ",2100.00,-2.78%,-60.00,Penjualan,21.589M,22940.300B,5.42,374.45,2199.00,Batubara
" RAJA RUKUN RAHARJA TBK. ",102.00,-0.97%,-1.00,Penjualan,10.927M,363.529B,3.43,30.28,204.00,Produksi Minyak & Gas
