NO PENERBANGAN,,TANGGAL PENERBANGAN,DARI,MENUJU,,STD,ATD,STA,,STATUS KEDATANGAN,AIRCRAFT,AIRLINE,OPERATOR,TYPE CODE,CODE1,CODE2,MODE S
" 3S390 "," "," 07 Apr 2020 "," Leipzig (LEJ) "," East Midlands (EMA) ",1:21," — "," 16:48 "," — ",," Landed 18:09 "," Boeing 777-F "," AeroLogic "," AeroLogic "," B77L "," 3S / BOX "," 3S / BOX "," 3C458E "
" 3S513 "," "," 07 Apr 2020 "," Dubai (DXB) "," Leipzig (LEJ) ",6:13," — "," 08:04 "," — ",," Landed 14:17 "," Boeing 777-F "," AeroLogic "," AeroLogic "," B77L "," 3S / BOX "," 3S / BOX "," 3C458E "
" 3S513 "," "," 06 Apr 2020 "," Hong Kong (HKG) "," Dubai (DXB) ",7:36," — "," 21:44 "," — ",," Landed 05:19 "," Boeing 777-F "," AeroLogic "," AeroLogic "," B77L "," 3S / BOX "," 3S / BOX "," 3C458E "
" 3S597 "," "," 06 Apr 2020 "," Tokyo (NRT) "," Hong Kong (HKG) ",4:30," — "," 13:01 "," — ",," Landed 17:31 "," Boeing 777-F "," AeroLogic "," AeroLogic "," B77L "," 3S / BOX "," 3S / BOX "," 3C458E "
" 3S590 "," "," 05 Apr 2020 "," Leipzig (LEJ) "," Tokyo (NRT) ",10:35," — "," 23:31 "," — ",," Landed 10:06 "," Boeing 777-F "," AeroLogic "," AeroLogic "," B77L "," 3S / BOX "," 3S / BOX "," 3C458E "
" 3S111 "," "," 05 Apr 2020 "," East Midlands (EMA) "," Leipzig (LEJ) ",1:15," 18:00 "," 17:52 "," — ",," Landed 19:07 "," Boeing 777-F "," AeroLogic "," AeroLogic "," B77L "," 3S / BOX "," 3S / BOX "," 3C458E "
" 3S521 "," "," 05 Apr 2020 "," Leipzig (LEJ) "," East Midlands (EMA) ",1:20," — "," 14:16 "," — ",," Landed 15:35 "," Boeing 777-F "," AeroLogic "," AeroLogic "," B77L "," 3S / BOX "," 3S / BOX "," 3C458E "
" 3S521 "," "," 05 Apr 2020 "," Hong Kong (HKG) "," Leipzig (LEJ) ",11:02," — "," 00:16 "," — ",," Landed 11:18 "," Boeing 777-F "," AeroLogic "," AeroLogic "," B77L "," 3S / BOX "," 3S / BOX "," 3C458E "
" 3S580 "," "," 04 Apr 2020 "," Seoul (ICN) "," Hong Kong (HKG) ",3:15," — "," 17:41 "," — ",," Landed 20:56 "," Boeing 777-F "," AeroLogic "," AeroLogic "," B77L "," 3S / BOX "," 3S / BOX "," 3C458E "
" 3S580 "," "," 04 Apr 2020 "," Leipzig (LEJ) "," Seoul (ICN) ",9:14," — "," 05:58 "," — ",," Landed 15:13 "," Boeing 777-F "," AeroLogic "," AeroLogic "," B77L "," 3S / BOX "," 3S / BOX "," 3C458E "
" 3S523 "," "," 03 Apr 2020 "," Hong Kong (HKG) "," Leipzig (LEJ) ",11:06," — "," 03:34 "," — ",," Landed 14:39 "," Boeing 777-F "," AeroLogic "," AeroLogic "," B77L "," 3S / BOX "," 3S / BOX "," 3C458E "
